日期,时间,股票代码,股票名称,买/卖,数量,成交价,总成本,交易佣金
2021/3/19,9:30,300842.SZA,帝科股份,买入,4400,55.27,243188.04,72.96
,15:00,300859.SZA,西域旅游,卖出,7400,28.85,-213489.994,277.54
2021/3/18,9:30,300859.SZA,西域旅游,买入,7400,28.96,214303.998,64.29
,15:00,000807.SZA,云铝股份,卖出,22100,11.77,-260117.01,338.15
2021/3/17,9:30,000807.SZA,云铝股份,买入,22100,11.88,262548.003,78.76
,15:00,603126.SHA,中材节能,卖出,20000,10.72,-214399.986,278.72
2021/3/16,9:30,603126.SHA,中材节能,买入,20000,10.41,208199.997,62.46
,15:00,300102.SZA,乾照光电,卖出,36900,6.88,-253872.001,330.03
2021/3/15,9:30,300102.SZA,乾照光电,买入,36900,6.77,249813.002,74.94
,15:00,000911.SZA,南宁糖业,卖出,24100,9.35,-225334.98,292.94
2021/3/12,9:30,000911.SZA,南宁糖业,买入,24100,9.33,224853.011,67.46
,15:00,300946.SZA,恒而达,卖出,3600,66.97,-241091.974,313.42
2021/3/11,9:30,300946.SZA,恒而达,买入,3600,65.54,235944.039,70.78
,15:00,300945.SZA,曼卡龙,卖出,9600,22.4,-215039.983,279.55
2021/3/10,9:30,300945.SZA,曼卡龙,买入,9600,22.86,219456.014,65.84
,15:00,600740.SHA,山西焦化,卖出,34300,7.14,-244901.994,318.37
2021/3/9,9:30,600740.SHA,山西焦化,买入,34300,6.77,232211.002,69.66
,15:00,300137.SZA,先河环保,卖出,30000,7.65,-229499.982,298.35
2021/3/8,9:30,300137.SZA,先河环保,买入,30000,8.05,241500.013,72.45
,15:00,000807.SZA,云铝股份,卖出,21700,9.82,-213093.993,277.02
2021/3/5,9:30,000807.SZA,云铝股份,买入,21700,9.91,215046.997,64.51
,15:00,300022.SZA,吉峰科技,卖出,42300,5.85,-247454.989,321.69
2021/3/4,9:30,300022.SZA,吉峰科技,买入,42300,5.77,244071.024,73.22
,15:00,300293.SZA,蓝英装备,卖出,15600,14.82,-231192.005,300.55
2021/3/3,9:30,300293.SZA,蓝英装备,买入,15600,13.5,210599.995,63.18
,15:00,000683.SZA,远兴能源,卖出,86700,2.77,-240158.997,312.21
2021/3/2,9:30,000683.SZA,远兴能源,买入,86700,2.72,235824.007,70.75
2021/3/1,15:00,000822.SZA,山东海化,卖出,45200,5.05,-228259.975,296.74
2021/2/26,9:30,000822.SZA,山东海化,买入,45200,4.5,203400.012,61.02
,15:00,000830.SZA,鲁西化工,卖出,12100,17.38,-210298.012,273.39
2021/2/25,9:30,000830.SZA,鲁西化工,买入,12100,17.76,214896.003,64.47
,15:00,300937.SZA,药易购,卖出,2200,99.99,-219977.994,285.97
2021/2/24,9:30,300937.SZA,药易购,买入,2200,88,193600.002,58.08
,15:00,300368.SZA,汇金股份,卖出,13400,13.93,-186662.003,242.66
2021/2/23,9:30,300368.SZA,汇金股份,买入,13400,12.5,167500.001,50.25
,15:00,300208.SZA,青岛中程,卖出,19900,10.57,-210343.008,273.45
2021/2/22,9:30,300208.SZA,青岛中程,买入,19900,10.3,204970.006,61.49
,15:00,600346.SHA,恒力石化,卖出,3600,44.41,-159875.999,207.84
2021/2/19,9:30,600346.SHA,恒力石化,买入,3600,46,165600,49.68
,15:00,601015.SHA,陕西黑猫,卖出,19500,11.11,-216644.993,281.64
2021/2/18,9:30,601015.SHA,陕西黑猫,买入,19500,10.38,202410.003,60.72
,15:00,002610.SZA,爱康科技,卖出,67700,2.67,-180758.985,234.99
2021/2/10,9:30,002610.SZA,爱康科技,买入,67700,2.54,171957.986,51.59
,15:00,300313.SZA,天山生物,卖出,13400,14.44,-193495.971,251.54
2021/2/9,9:30,300313.SZA,天山生物,买入,13400,15.01,201134.024,60.34
,15:00,000996.SZA,中国中期,卖出,17400,8.8,-153119.986,199.06
2021/2/8,9:30,000996.SZA,中国中期,买入,17400,8.92,155208.012,46.56
,15:00,300912.SZA,凯龙高科,卖出,5200,39.59,-205867.985,267.63
2021/2/5,9:30,300912.SZA,凯龙高科,买入,5200,38.5,200200.016,60.06
,15:00,300243.SZA,瑞丰高材,卖出,9000,18.06,-162540.01,211.3
2021/2/4,9:30,300243.SZA,瑞丰高材,买入,9000,18.31,164790.015,49.44
,15:00,003028.SZA,振邦智能,卖出,4300,47.55,-204464.988,265.8
2021/2/3,9:30,003028.SZA,振邦智能,买入,4300,41.71,179353.004,53.81
,15:00,300882.SZA,万胜智能,卖出,6200,26.16,-162191.988,210.85
2021/2/2,9:30,300882.SZA,万胜智能,买入,6200,27.96,173352.002,52.01
,15:00,601015.SHA,陕西黑猫,卖出,23700,7.45,-176564.995,229.53
2021/2/1,9:30,601015.SHA,陕西黑猫,买入,23700,6.05,143384.993,43.02
,15:00,600746.SHA,江苏索普,卖出,21800,8.16,-177887.961,231.25
2021/1/29,9:30,600746.SHA,江苏索普,买入,21800,8.3,180940.027,54.28
,15:00,300289.SZA,利德曼,卖出,21300,7,-149099.994,193.83
2021/1/28,9:30,300289.SZA,利德曼,买入,21300,7.33,156129.003,46.84
,15:00,600516.SHA,方大炭素,卖出,19900,8.2,-163180.015,212.13
2021/1/27,9:30,600516.SHA,方大炭素,买入,19900,8.52,169548.009,50.86
,15:00,600111.SHA,北方稀土,卖出,9500,18,-170999.982,222.3
2021/1/26,9:30,600111.SHA,北方稀土,买入,9500,17.52,166439.986,49.93
,15:00,300727.SZA,润禾材料,卖出,4700,30.64,-144007.995,187.21
2021/1/25,9:30,300727.SZA,润禾材料,买入,4700,30.25,142174.994,42.65
,15:00,300347.SZA,泰格医药,卖出,1000,191.51,-191509.979,248.96
2021/1/22,9:30,300347.SZA,泰格医药,买入,1000,177,177000,53.1
,15:00,300906.SZA,日月明,卖出,2500,57.3,-143249.997,186.22
2021/1/21,9:30,300906.SZA,日月明,买入,2500,61.1,152749.997,45.82
,15:00,300489.SZA,中飞股份,卖出,6700,25.39,-170112.979,221.15
2021/1/20,9:30,300489.SZA,中飞股份,买入,6700,25.93,173730.998,52.12
,15:00,300781.SZA,因赛集团,卖出,5500,29,-159499.995,207.35
2021/1/19,9:30,300781.SZA,因赛集团,买入,5500,27.62,151910.011,45.57
,15:00,002177.SZA,御银股份,卖出,28400,5.97,-169547.992,220.41
2021/1/18,9:30,002177.SZA,御银股份,买入,28400,5.76,163583.995,49.08
,15:00,000155.SZA,川能动力,卖出,800,12.77,-10216,13.28
2021/1/15,9:30,000155.SZA,川能动力,买入,800,10.12,8096,5
,15:00,002164.SZA,宁波东力,卖出,18100,7.66,-138645.996,180.24
,15:00,600844.SHA,丹化科技,卖出,41400,4.16,-172223.985,223.89
2021/1/14,9:30,002164.SZA,宁波东力,买入,18100,8.31,150411.008,45.12
2021/1/13,9:30,600844.SHA,丹化科技,买入,41400,4.07,168497.991,50.55
,15:00,300459.SZA,金科文化,卖出,45500,3.32,-151059.995,196.38
2021/1/12,9:30,300459.SZA,金科文化,买入,45500,3.32,151059.998,45.32
,15:00,300898.SZA,熊猫乳品,卖出,3100,55.8,-172979.994,224.87
2021/1/11,9:30,300898.SZA,熊猫乳品,买入,3100,55.8,172980,51.89
,15:00,300863.SZA,卡倍亿,卖出,1300,116.35,-151254.994,196.63
2021/1/8,9:30,300863.SZA,卡倍亿,买入,1300,129,167700.004,50.31
,15:00,300898.SZA,熊猫乳品,卖出,3200,55.9,-178880.002,232.54
2021/1/7,9:30,300898.SZA,熊猫乳品,买入,3200,57.68,184576.003,55.37
,15:00,300890.SZA,翔丰华,卖出,2800,57,-159599.996,207.48
2021/1/6,9:30,300890.SZA,翔丰华,买入,2800,63.71,178388,53.52
,15:00,000821.SZA,京山轻机,卖出,19000,9.78,-185820.009,241.57
2021/1/5,9:30,000821.SZA,京山轻机,买入,19000,10.18,193420.007,58.03
,15:00,300118.SZA,东方日升,卖出,6000,28.14,-168839.996,219.49
2021/1/4,9:30,300118.SZA,东方日升,买入,6000,28.93,173580.002,52.07
,15:00,000591.SZA,太阳能,卖出,26300,8,-210400,273.52
2020/12/31,9:30,000591.SZA,太阳能,买入,26300,6.62,174105.997,52.23
,15:00,002610.SZA,爱康科技,卖出,52500,3.29,-172724.998,224.54
2020/12/30,9:30,002610.SZA,爱康科技,买入,52500,3.1,162749.995,48.82
,15:00,300658.SZA,延江股份,卖出,6000,29.15,-174899.987,227.37
2020/12/29,9:30,300658.SZA,延江股份,买入,6000,29.87,179220.011,53.77
,15:00,300335.SZA,迪森股份,卖出,26700,6.12,-163403.986,212.43
2020/12/28,9:30,300335.SZA,迪森股份,买入,26700,6.34,169277.999,50.78
,15:00,600371.SHA,万向德农,卖出,10900,16.4,-178759.994,232.39
2020/12/25,9:30,600371.SHA,万向德农,买入,10900,14.51,158158.997,47.45
,15:00,000155.SZA,川能动力,卖出,19200,8.33,-159935.998,207.92
2020/12/24,9:30,000155.SZA,川能动力,买入,19200,7.99,153408.005,46.02
,15:00,600460.SHA,士兰微,卖出,7200,23.31,-167831.996,218.18
