"日期","时间","股票代码","股票名称","买/卖","数量","成交价","总成本","交易佣金"
"2020-12-31","09:30","002245.SZA","蔚蓝锂芯","买入","39300","12.71","499503.009","149.85"
"","09:30","300208.SZA","青岛中程","买入","35700","13.7","489090.039","146.73"
"","09:30","000552.SZA","靖远煤电","买入","152600","3.28","500528.113","150.16"
"","09:30","600559.SHA","老白干酒","买入","16000","31.46","503359.987","151.01"
"","09:30","000591.SZA","太阳能","买入","75500","6.62","499809.992","149.94"
"","15:00","002531.SZA","天顺风能","卖出","43500","8.42","-366269.99","476.15"
"","15:00","002537.SZA","海联金汇","卖出","46500","7.36","-342239.948","444.91"
"","15:00","300064.SZA","ST金刚","卖出","61000","5.48","-334279.986","434.56"
"","15:00","002610.SZA","爱康科技","卖出","115000","3.29","-378349.994","491.85"
"","15:00","002196.SZA","方正电机","卖出","45600","7.54","-343823.958","446.97"
"2020-12-30","09:30","002531.SZA","天顺风能","买入","43500","8.32","361920.042","108.58"
"","09:30","002537.SZA","海联金汇","买入","46500","7.5","348750.013","104.63"
"","09:30","300064.SZA","ST金刚","买入","61000","5.65","344649.987","103.39"
"","09:30","002610.SZA","爱康科技","买入","115000","3.1","356499.991","106.95"
"","09:30","002196.SZA","方正电机","买入","45600","7.49","341544.037","102.46"
"","15:00","002506.SZA","协鑫集成","卖出","114900","4.16","-477983.954","621.38"
"","15:00","002263.SZA","大东南","卖出","183500","2.74","-502789.798","653.63"
"","15:00","600711.SHA","盛屯矿业","卖出","55500","8.75","-485624.999","631.31"
"","15:00","002160.SZA","常铝股份","卖出","103800","4.5","-467099.943","607.23"
"","15:00","600139.SHA","西部资源","卖出","133100","3.53","-469842.842","610.8"
"","15:00","600207.SHA","安彩高科","卖出","56800","6.48","-368063.896","478.48"
"2020-12-29","09:30","002506.SZA","协鑫集成","买入","114900","4.55","522795.03","156.84"
"","09:30","002263.SZA","大东南","买入","183500","2.84","521140.11","156.34"
"","09:30","600711.SHA","盛屯矿业","买入","55500","9.4","521699.98","156.51"
"","09:30","002160.SZA","常铝股份","买入","103800","4.98","516924.029","155.08"
